name,age,position,school,draft_pick,season,games,pass_cmp,pass_att,cmp%,yds,TDs,TD%,Int,Int%,Rating,Rush Attempts,Rush Yards,Rush TDs,passCMP,passingYDS,passingTDS,passingINT,rushingYDS,rushingTDS
Mike White,23,QB,Western Kentucky,171,2017,4,368,560,560.0,4177,26,4.6,8,1.4,140.8,64,-268,6.0,66.7,953.0,5.0,8.0,-1.0,0.0
Luke Falk,23,QB,Washington St.,199,2014,5,156,243,243.0,1859,13,5.3,7,2.9,140.4,36,-70,1.0,,,,,,
Luke Falk,23,QB,Washington St.,199,2015,12,448,645,645.0,4566,38,5.9,8,1.2,145.9,82,-115,3.0,,,,,,
Luke Falk,23,QB,Washington St.,199,2016,13,443,633,633.0,4468,38,6.0,11,1.7,145.6,66,-68,0.0,,,,,,
Luke Falk,23,QB,Washington St.,199,2017,12,357,534,534.0,3593,30,5.6,13,2.4,137.0,67,-147,0.0,,,,,,
Tanner Lee,23,QB,Nebraska,203,2014,10,185,336,336.0,1962,12,3.6,14,4.2,107.6,36,-125,0.0,,,,,,
Tanner Lee,23,QB,Nebraska,203,2015,9,143,276,276.0,1639,11,4.0,7,2.5,109.8,23,-162,0.0,,,,,,
Tanner Lee,23,QB,Nebraska,203,2017,12,246,428,428.0,3143,23,5.4,16,3.7,129.4,30,-97,2.0,,,,,,
Danny Etling,24,QB,LSU,219,2013,8,149,267,267.0,1690,10,3.7,7,2.6,116.1,55,-99,1.0,,,,,,
Danny Etling,24,QB,LSU,219,2014,5,89,162,162.0,800,6,3.7,5,3.1,102.5,33,-5,3.0,,,,,,
Danny Etling,24,QB,LSU,219,2016,11,160,269,269.0,2123,11,4.1,5,1.9,135.6,41,46,1.0,,,,,,
Danny Etling,24,QB,LSU,219,2017,13,165,275,275.0,2463,16,5.8,2,0.7,153.0,72,128,2.0,,,,,,
Alex McGough,22,QB,Florida International,220,2014,12,138,274,274.0,1680,14,5.1,10,3.6,111.4,97,92,4.0,,,,,,
Alex McGough,22,QB,Florida International,220,2015,12,269,420,420.0,2722,21,5.0,8,1.9,131.2,88,95,3.0,,,,,,
Alex McGough,22,QB,Florida International,220,2016,9,167,286,286.0,1891,13,4.5,11,3.8,121.2,45,117,4.0,,,,,,
Alex McGough,22,QB,Florida International,220,2017,13,232,355,355.0,2798,17,4.8,8,2.3,142.9,78,231,5.0,,,,,,
Kyler Murray,22,QB,Oklahoma,1,2015,16,72,121,121.0,686,5,4.1,7,5.8,109.2,53,335,1.0,64.4,3722.0,20.0,12.0,544.0,4.0
Kyler Murray,22,QB,Oklahoma,1,2017,16,18,21,21.0,359,3,14.3,0,0.0,276.5,14,142,0.0,64.4,3722.0,20.0,12.0,544.0,4.0
Kyler Murray,22,QB,Oklahoma,1,2018,16,260,377,377.0,4361,42,11.1,7,1.9,199.2,140,1001,12.0,64.4,3722.0,20.0,12.0,544.0,4.0
Daniel Jones,22,QB,Duke,6,2016,13,270,430,430.0,2836,16,3.7,9,2.1,126.3,141,486,7.0,61.9,3027.0,24.0,12.0,279.0,2.0
Daniel Jones,22,QB,Duke,6,2017,13,257,453,453.0,2691,14,3.1,11,2.4,112.0,161,518,7.0,61.9,3027.0,24.0,12.0,279.0,2.0
Daniel Jones,22,QB,Duke,6,2018,13,237,392,392.0,2674,22,5.6,9,2.3,131.7,104,319,3.0,61.9,3027.0,24.0,12.0,279.0,2.0
Dwayne Haskins,22,QB,Ohio St.,15,2017,9,40,57,57.0,565,4,7.0,1,1.8,173.1,24,86,0.0,58.6,1365.0,7.0,7.0,101.0,0.0
Dwayne Haskins,22,QB,Ohio St.,15,2018,9,373,533,533.0,4831,50,9.4,8,1.5,174.1,79,108,4.0,58.6,1365.0,7.0,7.0,101.0,0.0
Drew Lock,22,QB,Missouri,42,2015,5,129,263,263.0,1332,4,1.5,8,3.0,90.5,52,28,1.0,64.1,1020.0,7.0,3.0,72.0,0.0
Drew Lock,22,QB,Missouri,42,2016,5,237,434,434.0,3399,23,5.3,10,2.3,133.3,52,123,1.0,64.1,1020.0,7.0,3.0,72.0,0.0
Drew Lock,22,QB,Missouri,42,2017,5,242,419,419.0,3964,44,10.5,13,3.1,165.7,44,111,1.0,64.1,1020.0,7.0,3.0,72.0,0.0
Drew Lock,22,QB,Missouri,42,2018,5,275,437,437.0,3498,28,6.4,8,1.8,147.7,55,175,6.0,64.1,1020.0,7.0,3.0,72.0,0.0
Will Grier,24,QB,West Virginia,100,2015,2,106,161,161.0,1204,10,6.2,3,1.9,145.4,36,116,2.0,53.8,228.0,0.0,4.0,22.0,0.0
Will Grier,24,QB,West Virginia,100,2017,2,250,388,388.0,3490,34,8.8,12,3.1,162.7,63,122,2.0,53.8,228.0,0.0,4.0,22.0,0.0
Will Grier,24,QB,West Virginia,100,2018,2,266,397,397.0,3864,37,9.3,8,2.0,175.5,48,-90,3.0,53.8,228.0,0.0,4.0,22.0,0.0
